unique location,lat,long,geometry,nearest_weather_station
Tanah Merah Kechil Rd South ,1.3217883999999998,103.9466776,POINT (103.9466776 1.3217884),Changi
Plantation Ave,1.3590853999999999,103.8730994,POINT (103.8730994 1.3590854),Ang Mo Kio
Woodlands Ave4 ,1.4381579,103.7957198,POINT (103.7957198 1.4381579),Khatib
CompassvaleDr ,1.3878883,103.8969344,POINT (103.8969344 1.3878883),Ang Mo Kio
Riverina View,1.3790386000000001,103.9454863,POINT (103.9454863 1.3790386),Changi
Whampoa West ,1.3207006000000001,103.8638894,POINT (103.8638894 1.3207006),Ang Mo Kio
East Coast Rd ,1.3090566000000001,103.91269059999999,POINT (103.9126906 1.3090566),Marina Barrage
Sungei KadutSt 2,1.4145388,103.749546,POINT (103.749546 1.4145388),Khatib
Lor 7 Toa Payoh,1.3373559,103.8563814,POINT (103.8563814 1.3373559),Ang Mo Kio
Simei St 4,1.3420111000000001,103.95595329999999,POINT (103.9559533 1.3420111),Changi
Hume Ave,1.3570639,103.7673642,POINT (103.7673642 1.3570639),Ang Mo Kio
S'goon Gdn Way,1.365551,103.86640899999999,POINT (103.866409 1.365551),Ang Mo Kio
Kallang Bahru ,1.3179783,103.86660400000001,POINT (103.866604 1.3179783),Ang Mo Kio
Bishan St 11 ,1.3465053,103.8522641,POINT (103.8522641 1.3465053),Ang Mo Kio
Ah Soo Gdn,1.3502098,103.8835225,POINT (103.8835225 1.3502098),Ang Mo Kio
Choa Chu KangAve 4 ,1.3827764,103.7415944,POINT (103.7415944 1.3827764),Khatib
"Lor 8, 10, 12,14 Geylang",1.3118389,103.876981,POINT (103.876981 1.3118389),Marina Barrage
Gloucester Rd ,1.3129226,103.8520501,POINT (103.8520501 1.3129226),Ang Mo Kio
Woodlands Dr 42,1.4369726,103.7969314,POINT (103.7969314 1.4369726),Khatib
Lor Pisang Emas,1.3439383999999999,103.77157259999998,POINT (103.7715726 1.3439384),Ang Mo Kio
Woodlands St 41 ,1.4293301999999999,103.77315920000001,POINT (103.7731592 1.4293302),Khatib
Bishan St 24 ,1.3565862,103.844408,POINT (103.844408 1.3565862),Ang Mo Kio
Bedok Reservior Rd ,1.3370403,103.92154790000001,POINT (103.9215479 1.3370403),Changi
Redhill Cl,1.2865389999999999,103.816976,POINT (103.816976 1.286539),Marina Barrage
Lor Biawak,1.3477502000000001,103.8701778,POINT (103.8701778 1.3477502),Ang Mo Kio
Lor Ong Lye ,1.3479061,103.8790427,POINT (103.8790427 1.3479061),Ang Mo Kio
Lor 17 Geylang ,1.31402,103.8786145,POINT (103.8786145 1.31402),Marina Barrage
Flower Rd,1.3602403,103.8813307,POINT (103.8813307 1.3602403),Ang Mo Kio
Choa Chu Kang St 62 ,1.39885,103.746659,POINT (103.746659 1.39885),Khatib
Pesari Walk ,1.3245905,103.954204,POINT (103.954204 1.3245905),Changi
Hai Sing Rd ,1.3657267,103.89342109999998,POINT (103.8934211 1.3657267),Ang Mo Kio
Toh Tuck Rd ,1.3397261,103.7661564,POINT (103.7661564 1.3397261),Ang Mo Kio
Chai Chee Dr,1.3240811000000001,103.9191646,POINT (103.9191646 1.3240811),Marina Barrage
"Verde Cres, Gr",1.3903926000000002,103.7508486,POINT (103.7508486 1.3903926),Khatib
"Cashew Cres, Lk ",1.3714452,103.76945690000001,POINT (103.7694569 1.3714452),Khatib
Parkstone Rd ,1.3065856000000002,103.8948834,POINT (103.8948834 1.3065856),Marina Barrage
Koon Seng Rd,1.3115593,103.90428730000001,POINT (103.9042873 1.3115593),Marina Barrage
Kim Keat Ave ,1.3324775,103.8580168,POINT (103.8580168 1.3324775),Ang Mo Kio
"Yunnan Cres, Dr 3",1.3359454,103.69144179999999,POINT (103.6914418 1.3359454),Tuas South
Jln Songket ,1.3566713,103.8864443,POINT (103.8864443 1.3566713),Ang Mo Kio
Sims Dr ,1.3182958,103.87954520000001,POINT (103.8795452 1.3182958),Marina Barrage
373),1.358959,103.75027800000001,POINT (103.750278 1.358959),Ang Mo Kio
Choa Chu Kang Ave 3 ,1.3801285,103.7413747,POINT (103.7413747 1.3801285),Khatib
"Verde Ave, Pl",1.3908293,103.75157159999999,POINT (103.7515716 1.3908293),Khatib
Serangoon NthAve 4 ,1.3735826,103.87330949999999,POINT (103.8733095 1.3735826),Ang Mo Kio
Hougang ave 8,1.3747735,103.8883372,POINT (103.8883372 1.3747735),Ang Mo Kio
Bedok Nth St 3,1.3328828000000001,103.9265444,POINT (103.9265444 1.3328828),Changi
Carmen Ter ,1.3186117,103.9273227,POINT (103.9273227 1.3186117),Changi
Coldstream Ave ,1.3119252000000001,103.91932059999999,POINT (103.9193206 1.3119252),Marina Barrage
Mimosa Cres,1.3851069999999999,103.8629337,POINT (103.8629337 1.385107),Khatib
 Yishun St 72 ,1.4267849,103.83266040000001,POINT (103.8326604 1.4267849),Khatib
Woodlands Dr 72 ,1.4434388,103.8044632,POINT (103.8044632 1.4434388),Khatib
Flanders Sq ,1.3125518,103.85772779999999,POINT (103.8577278 1.3125518),Ang Mo Kio
Geylang East Ave 2,1.3176923,103.88877579999999,POINT (103.8887758 1.3176923),Marina Barrage
Jln Loyang Besar ,1.3785756,103.9606109,POINT (103.9606109 1.3785756),Changi
Bt PanjangRing Rd ,1.3863791,103.76454659999999,POINT (103.7645466 1.3863791),Khatib
Shan Rd,1.3255926000000002,103.8464916,POINT (103.8464916 1.3255926),Ang Mo Kio
Neram Cres,1.3856943000000002,103.8671064,POINT (103.8671064 1.3856943),Ang Mo Kio
Bedok Sth Ave 1,1.320875,103.93374909999999,POINT (103.9337491 1.320875),Changi
Guillemard Rd,1.3112603,103.88569100000001,POINT (103.885691 1.3112603),Marina Barrage
Kim Keat Cl ,1.3239372999999999,103.8534166,POINT (103.8534166 1.3239373),Ang Mo Kio
Prince George's Pk,1.2926245,103.7793885,POINT (103.7793885 1.2926245),Ang Mo Kio
Lor Kismis,1.3373826000000002,103.7683168,POINT (103.7683168 1.3373826),Ang Mo Kio
Lor L Telok Kurau ,1.3119655000000001,103.91185909999999,POINT (103.9118591 1.3119655),Marina Barrage
Sin Ming Dr,1.3584041999999998,103.83717259999999,POINT (103.8371726 1.3584042),Ang Mo Kio
Pasir Ris St 72 ,1.3803551,103.9364814,POINT (103.9364814 1.3803551),Changi
Margoliouth Rd,1.3187205,103.82423659999999,POINT (103.8242366 1.3187205),Ang Mo Kio
Elias Rd ,1.3776651000000002,103.9414407,POINT (103.9414407 1.3776651),Changi
Yio Chu KangRd,1.3913524,103.8565907,POINT (103.8565907 1.3913524),Khatib
Kim Keat Ln ,1.323878,103.8538254,POINT (103.8538254 1.323878),Ang Mo Kio
"Lor 6, 7 RealtyPk",1.3086573000000001,103.87710200000001,POINT (103.877102 1.3086573),Marina Barrage
Moonstone Ln ,1.3277062,103.8659308,POINT (103.8659308 1.3277062),Ang Mo Kio
Jln Kayu ,1.3968915000000002,103.8731122,POINT (103.8731122 1.3968915),Khatib
Yishun Ctrl ,1.4263378,103.8405467,POINT (103.8405467 1.4263378),Khatib
"Woodlands Ind Pk E3, E5, E7, E9",1.4539923000000001,103.7975901,POINT (103.7975901 1.4539923),Khatib
Jln Leban,1.3732041000000001,103.83073929999999,POINT (103.8307393 1.3732041),Ang Mo Kio
Park VillasGreen ,1.3679257,103.8794579,POINT (103.8794579 1.3679257),Ang Mo Kio
Lor Limau ,1.3241276000000002,103.85496490000001,POINT (103.8549649 1.3241276),Ang Mo Kio
Fulton Rd ,1.3613467,103.8333878,POINT (103.8333878 1.3613467),Ang Mo Kio
Senja Rd ,1.3866896,103.76192979999999,POINT (103.7619298 1.3866896),Khatib
Jln Ulu Sembawang ,1.417346,103.7903307,POINT (103.7903307 1.417346),Khatib
Nassim Rd ,1.3116497,103.82189509999999,POINT (103.8218951 1.3116497),Ang Mo Kio
Tai Hwan Hts,1.357723,103.8617288,POINT (103.8617288 1.357723),Ang Mo Kio
Cashew Rd ,1.3718515,103.767771,POINT (103.767771 1.3718515),Khatib
Woodlands Circle ,1.4444853000000002,103.798085,POINT (103.798085 1.4444853),Khatib
Belilios Rd ,1.3080334999999998,103.8519289,POINT (103.8519289 1.3080335),Marina Barrage
Bright Hill Cres ,1.3560697,103.83248359999999,POINT (103.8324836 1.3560697),Ang Mo Kio
Lentor Loop ,1.3873431,103.83731949999999,POINT (103.8373195 1.3873431),Khatib
Lor 39 Geylang,1.3159773000000001,103.890676,POINT (103.890676 1.3159773),Marina Barrage
S'goon North Ave 1 ,1.3664661,103.8731593,POINT (103.8731593 1.3664661),Ang Mo Kio
Beatty Rd ,1.3139768,103.8584703,POINT (103.8584703 1.3139768),Ang Mo Kio
Guillemard Cres ,1.3093204999999999,103.88088559999998,POINT (103.8808856 1.3093205),Marina Barrage
Jln Keruing,1.3842695,103.8738796,POINT (103.8738796 1.3842695),Ang Mo Kio
Siglap Ave South ,1.3165913999999999,103.91975790000001,POINT (103.9197579 1.3165914),Marina Barrage
Fowlie Rd ,1.3066601,103.9027949,POINT (103.9027949 1.3066601),Marina Barrage
Fernvale St ,1.3982639,103.880279,POINT (103.880279 1.3982639),Khatib
"Eastwood Dr, Green, Pl, Rd, Ter, Way ",1.3233243000000001,103.9557363,POINT (103.9557363 1.3233243),Changi
Chuan Cl,1.3492258,103.8611595,POINT (103.8611595 1.3492258),Ang Mo Kio
Hougang Ave3 ,1.3524666,103.89082040000001,POINT (103.8908204 1.3524666),Ang Mo Kio
College Ave West,1.3063524,103.7716832,POINT (103.7716832 1.3063524),Ang Mo Kio
Cheng Soon Cres ,1.3363083999999998,103.7725246,POINT (103.7725246 1.3363084),Ang Mo Kio
Yishun St 22 ,1.4371688999999999,103.83749909999999,POINT (103.8374991 1.4371689),Khatib
Bowmont Gdns,1.31433,103.9200577,POINT (103.9200577 1.31433),Marina Barrage
Woodgrove Ave ,1.4276723,103.78069599999999,POINT (103.780696 1.4276723),Khatib
Brighton Ave ,1.3609691000000002,103.8726472,POINT (103.8726472 1.3609691),Ang Mo Kio
Pasir Ris Dr 1,1.3711058999999999,103.9488267,POINT (103.9488267 1.3711059),Changi
Upp East Coast Rd ,1.3148748,103.9402579,POINT (103.9402579 1.3148748),Changi
"Farrer Dr, Rd",1.3147723999999998,103.8065877,POINT (103.8065877 1.3147724),Ang Mo Kio
Marine Parade Rd ,1.3073706,103.9179643,POINT (103.9179643 1.3073706),Marina Barrage
Farrer Pk Rd,1.3118965,103.85144790000001,POINT (103.8514479 1.3118965),Ang Mo Kio
"Telok Blangah Rise, Way",1.2726409,103.821383,POINT (103.821383 1.2726409),Marina Barrage
Charlton Ln ,1.3557472,103.8819989,POINT (103.8819989 1.3557472),Ang Mo Kio
Lor 5 Toa Payoh ,1.3365163999999998,103.8527387,POINT (103.8527387 1.3365164),Ang Mo Kio
Marshall Rd,1.3065053999999998,103.9013515,POINT (103.9013515 1.3065054),Marina Barrage
Pasir Ris Dr 6 ,1.3720207,103.95676740000002,POINT (103.9567674 1.3720207),Changi
Lor Pisang Emas ,1.3439383999999999,103.77157259999998,POINT (103.7715726 1.3439384),Ang Mo Kio
Cowdray Ave ,1.3673206,103.86474799999999,POINT (103.864748 1.3673206),Ang Mo Kio
Alexandra Rd ,1.2884712,103.80557569999999,POINT (103.8055757 1.2884712),Marina Barrage
Jelapang Rd,1.3858976,103.76728890000001,POINT (103.7672889 1.3858976),Khatib
Woodlands St 82,1.4432749,103.7913931,POINT (103.7913931 1.4432749),Khatib
Joon Hiang Rd ,1.353078,103.8750824,POINT (103.8750824 1.353078),Ang Mo Kio
Ang Mo Kio St 52 ,1.3724726999999999,103.8536388,POINT (103.8536388 1.3724727),Ang Mo Kio
Ipoh Ln,1.3117833,103.89558740000001,POINT (103.8955874 1.3117833),Marina Barrage
Eunos Ave 4 ,1.3206688,103.8974046,POINT (103.8974046 1.3206688),Marina Barrage
Pemimpin Pl,1.3538161,103.8426566,POINT (103.8426566 1.3538161),Ang Mo Kio
Ubi Ave 1 ,1.3262572,103.8980834,POINT (103.8980834 1.3262572),Ang Mo Kio
Canberra Dr,1.4417357,103.82813409999999,POINT (103.8281341 1.4417357),Khatib
How Sun Cl ,1.3435433,103.8812554,POINT (103.8812554 1.3435433),Ang Mo Kio
Choa Chu Kang Rd ,1.3781136999999999,103.7573998,POINT (103.7573998 1.3781137),Khatib
"Casuarina Rd, Walk",1.375008,103.82805920000001,POINT (103.8280592 1.375008),Ang Mo Kio
Avon Rd ,1.3052274,103.8901564,POINT (103.8901564 1.3052274),Marina Barrage
Pasir Ris Lk,1.3720937,103.9473728,POINT (103.9473728 1.3720937),Changi
Woodlands Cres,1.4468524,103.80241459999999,POINT (103.8024146 1.4468524),Khatib
Jln Anhherek,1.3295278999999998,103.8818569,POINT (103.8818569 1.3295279),Ang Mo Kio
Keng Lee Rd ,1.3136618,103.8433703,POINT (103.8433703 1.3136618),Ang Mo Kio
Yishun Ave 9,1.4339149,103.841806,POINT (103.841806 1.4339149),Khatib
Choa Chu Kang Rd,1.3781136999999999,103.7573998,POINT (103.7573998 1.3781137),Khatib
Bedok South Ave 1 ,1.3177823999999998,103.93294499999999,POINT (103.932945 1.3177824),Changi
Parry Ter,1.3666472,103.87823359999999,POINT (103.8782336 1.3666472),Ang Mo Kio
"Senoko Ave, Way",1.4672432,103.8102783,POINT (103.8102783 1.4672432),Khatib
Tampines St 21 ,1.3516209,103.9496392,POINT (103.9496392 1.3516209),Changi
Bedok Gdn ,1.3230091,103.9529433,POINT (103.9529433 1.3230091),Changi
Lor Liew Lian ,1.3503431000000001,103.8773085,POINT (103.8773085 1.3503431),Ang Mo Kio
Woodlands St 81,1.4414768,103.789208,POINT (103.789208 1.4414768),Khatib
Parliament Pl ,1.2896979,103.8506629,POINT (103.8506629 1.2896979),Marina Barrage
"Frankel Cl, Dr",1.3182785,103.9146352,POINT (103.9146352 1.3182785),Marina Barrage
Marsiling Rd ,1.4386801000000002,103.7761594,POINT (103.7761594 1.4386801),Khatib
Golden Rise ,1.3364178999999998,103.7648482,POINT (103.7648482 1.3364179),Ang Mo Kio
"Tai Hwan Ave, Cl, Htgs",1.3570536,103.8616578,POINT (103.8616578 1.3570536),Ang Mo Kio
Rosyth Rd ,1.3626969999999998,103.8765551,POINT (103.8765551 1.362697),Ang Mo Kio
Tai Yuan Hts,1.359218,103.869221,POINT (103.869221 1.359218),Ang Mo Kio
Jln Datoh ,1.3277338,103.84299509999998,POINT (103.8429951 1.3277338),Ang Mo Kio
Evelyn Rd ,1.3162359,103.8400196,POINT (103.8400196 1.3162359),Ang Mo Kio
Gray Ln ,1.3124608,103.8931382,POINT (103.8931382 1.3124608),Marina Barrage
Boon Lay Ave ,1.3469855,103.7103633,POINT (103.7103633 1.3469855),Tuas South
Tampines Ave 1 ,1.3464261,103.9338822,POINT (103.9338822 1.3464261),Changi
"Eastwood Dr, Green, Pl, Ter,Way ",1.3233243000000001,103.9557363,POINT (103.9557363 1.3233243),Changi
Jln Langgar Bedok,1.3257729999999999,103.950017,POINT (103.950017 1.325773),Changi
Wilby Rd,1.3319315,103.78875699999999,POINT (103.788757 1.3319315),Ang Mo Kio
Jln Chengam ,1.3725447,103.83186070000001,POINT (103.8318607 1.3725447),Ang Mo Kio
Arthur Rd,1.3017751,103.8880084,POINT (103.8880084 1.3017751),Marina Barrage
"Bedok Ln, Rd, Walk",1.3288153,103.9479887,POINT (103.9479887 1.3288153),Changi
Balestier Rd,1.3214951000000001,103.85285909999999,POINT (103.8528591 1.3214951),Ang Mo Kio
Kasai Rd,1.3864521,103.8663883,POINT (103.8663883 1.3864521),Khatib
Leith Pk,1.3620971000000002,103.87412370000001,POINT (103.8741237 1.3620971),Ang Mo Kio
Kampong Ampat ,1.3344742,103.8830791,POINT (103.8830791 1.3344742),Ang Mo Kio
Yishun St 722,1.4258861999999999,103.828917,POINT (103.828917 1.4258862),Khatib
Jln Menarong,1.3710454,103.83035109999999,POINT (103.8303511 1.3710454),Ang Mo Kio
Lor 3 Geylang Rd ,1.3150551000000001,103.8730623,POINT (103.8730623 1.3150551),Marina Barrage
S'goon Ave 3 ,1.349128,103.8734316,POINT (103.8734316 1.349128),Ang Mo Kio
"Lor K, L Telok Kurau ",1.3122916,103.9108615,POINT (103.9108615 1.3122916),Marina Barrage
"Kew Ave, Cres",1.3208117,103.9477203,POINT (103.9477203 1.3208117),Changi
Sembawang Rd ,1.4324758999999998,103.82672990000002,POINT (103.8267299 1.4324759),Khatib
Rowell Rd ,1.3084832,103.8550364,POINT (103.8550364 1.3084832),Marina Barrage
 Jln Manis ,1.3257381000000001,103.86336990000001,POINT (103.8633699 1.3257381),Ang Mo Kio
Jln Novena Barat ,1.3230336999999999,103.8422019,POINT (103.8422019 1.3230337),Ang Mo Kio
Cotswold Cl,1.3465373999999999,103.8621892,POINT (103.8621892 1.3465374),Ang Mo Kio
Pasir Ris St 11 ,1.364947,103.9586667,POINT (103.9586667 1.364947),Changi
Hong San Walk ,1.3775071,103.74588990000001,POINT (103.7458899 1.3775071),Khatib
Yishun Ave 1 ,1.4177464,103.8461516,POINT (103.8461516 1.4177464),Khatib
Jln Ishak ,1.3250146999999999,103.90781379999999,POINT (103.9078138 1.3250147),Marina Barrage
Pine Gr ,1.3183850000000001,103.77509350000001,POINT (103.7750935 1.318385),Ang Mo Kio
Lucky View ,1.3178965,103.9395085,POINT (103.9395085 1.3178965),Changi
Jln Melor ,1.3317964,103.8846215,POINT (103.8846215 1.3317964),Ang Mo Kio
"Jln Kelichap, JlnLokam ",1.3468833999999998,103.8813653,POINT (103.8813653 1.3468834),Ang Mo Kio
Leedon Hts,1.3145178999999998,103.80229279999999,POINT (103.8022928 1.3145179),Ang Mo Kio
Eng Kong Ter ,1.3365850000000001,103.76950009999999,POINT (103.7695001 1.336585),Ang Mo Kio
Choa Chu Kang Nth 5 ,1.3919048,103.7467749,POINT (103.7467749 1.3919048),Khatib
Jurong West St 73 ,1.3471723,103.69981800000001,POINT (103.699818 1.3471723),Tuas South
Ang Mo Kio Ave 3,1.3689086000000001,103.8572848,POINT (103.8572848 1.3689086),Ang Mo Kio
Simei Rise ,1.3485715,103.9614239,POINT (103.9614239 1.3485715),Changi
"Corporation Rise, Walk ",1.3395758999999998,103.71741490000001,POINT (103.7174149 1.3395759),Tuas South
Fernvale Rd ,1.3936113,103.87613,POINT (103.87613 1.3936113),Khatib
Yuan Ching Rd ,1.3351541999999998,103.7250476,POINT (103.7250476 1.3351542),Tuas South
Potong Pasir Ave 3 ,1.3336139,103.8651988,POINT (103.8651988 1.3336139),Ang Mo Kio
Boon Keng Rd,1.3153712,103.8645024,POINT (103.8645024 1.3153712),Ang Mo Kio
Yishun St 51 ,1.4164431,103.8435347,POINT (103.8435347 1.4164431),Khatib
Derbyshire Rd ,1.3165556999999999,103.8457595,POINT (103.8457595 1.3165557),Ang Mo Kio
Ghim Moh Lk,1.3117378,103.7874454,POINT (103.7874454 1.3117378),Ang Mo Kio
Frankel Ave ,1.3165613999999999,103.91781359999999,POINT (103.9178136 1.3165614),Marina Barrage
Angsana Ave ,1.3309964,103.87685,POINT (103.87685 1.3309964),Ang Mo Kio
Tai Thong Cres ,1.3290323999999998,103.86962779999999,POINT (103.8696278 1.3290324),Ang Mo Kio
Bishan St 15 ,1.3519257,103.8510558,POINT (103.8510558 1.3519257),Ang Mo Kio
"Kew Cres, Walk",1.3186212,103.9498788,POINT (103.9498788 1.3186212),Changi
Jln Tarum,1.3738957,103.8315861,POINT (103.8315861 1.3738957),Ang Mo Kio
Tuas South St 15 ,1.2737962999999999,103.6368868,POINT (103.6368868 1.2737963),Tuas South
Seagull Walk,1.3462843999999998,103.9644666,POINT (103.9644666 1.3462844),Changi
Cantonment Rd,1.2758279,103.84083559999999,POINT (103.8408356 1.2758279),Marina Barrage
Chai Chee Dr ,1.3240811000000001,103.9191646,POINT (103.9191646 1.3240811),Marina Barrage
Jln Dondang Sayang ,1.3102669,103.9209931,POINT (103.9209931 1.3102669),Marina Barrage
Westwood Cres,1.3528594999999999,103.6999355,POINT (103.6999355 1.3528595),Tuas South
Woodlands Dr16 ,1.4300614999999999,103.7945328,POINT (103.7945328 1.4300615),Khatib
Punggol East ,1.3950725,103.9166178,POINT (103.9166178 1.3950725),Changi
Cuff Rd ,1.3069328000000002,103.8532249,POINT (103.8532249 1.3069328),Marina Barrage
Fernvale Cl,1.3944623,103.879961,POINT (103.879961 1.3944623),Khatib
Old Choa Chu Kang Rd ,1.3717846000000002,103.7053218,POINT (103.7053218 1.3717846),Tuas South
Choa Chu Kang Ave 2 ,1.3783588,103.7427563,POINT (103.7427563 1.3783588),Khatib
Upp Changi Rd,1.3374077,103.95952249999999,POINT (103.9595225 1.3374077),Changi
Kranji Rd,1.4306891000000002,103.7559274,POINT (103.7559274 1.4306891),Khatib
Simei St 3,1.3418992,103.9532374,POINT (103.9532374 1.3418992),Changi
Lim Tua Tow Rd ,1.3547083999999998,103.8761809,POINT (103.8761809 1.3547084),Ang Mo Kio
Lor 6 Realty Pk,1.368635,103.888798,POINT (103.888798 1.368635),Ang Mo Kio
Cowdray Ave,1.3673206,103.86474799999999,POINT (103.864748 1.3673206),Ang Mo Kio
Kg Eunos,1.3188683,103.9065195,POINT (103.9065195 1.3188683),Marina Barrage
Geylang East Ave 1 ,1.3170783000000001,103.8853186,POINT (103.8853186 1.3170783),Marina Barrage
"Tampines Pl, Rd",1.3672202,103.9290702,POINT (103.9290702 1.3672202),Changi
Tampines St 43 ,1.3608296999999998,103.9521967,POINT (103.9521967 1.3608297),Changi
Defu Ln 3,1.3582965,103.9013425,POINT (103.9013425 1.3582965),Ang Mo Kio
Lengkong Lima,1.3274238,103.9136156,POINT (103.9136156 1.3274238),Marina Barrage
"Lucky Hts, View ",1.3175152,103.9408532,POINT (103.9408532 1.3175152),Changi
Jurong ,1.3328572,103.7435522,POINT (103.7435522 1.3328572),Ang Mo Kio
Grace Pk,1.3576617,103.86882170000001,POINT (103.8688217 1.3576617),Ang Mo Kio
Serangoon Ave 1 ,1.3475282,103.87513,POINT (103.87513 1.3475282),Ang Mo Kio
Empress Rd,1.3173106,103.80626190000001,POINT (103.8062619 1.3173106),Ang Mo Kio
Pasir Ris Street 13 ,1.3634402,103.96162120000001,POINT (103.9616212 1.3634402),Changi
Eunos Road 5 ,1.3204327,103.89616059999999,POINT (103.8961606 1.3204327),Marina Barrage
"Kim Chuan Dr, Ter",1.340424,103.891245,POINT (103.891245 1.340424),Ang Mo Kio
Tanjong Rhu Rd,1.2973043,103.87646490000002,POINT (103.8764649 1.2973043),Marina Barrage
Gardenia Rd ,1.3556171000000001,103.8280015,POINT (103.8280015 1.3556171),Ang Mo Kio
Marsiling Dr ,1.4423128,103.77509040000001,POINT (103.7750904 1.4423128),Khatib
Tyrwhitt Rd,1.3108543,103.8596446,POINT (103.8596446 1.3108543),Marina Barrage
Choa Chu Kang Ave4 ,1.3827764,103.7415944,POINT (103.7415944 1.3827764),Khatib
"Lor L, M Telok Kurau",1.3109464,103.9124768,POINT (103.9124768 1.3109464),Marina Barrage
Lucky Gdns ,1.3189398,103.94129670000001,POINT (103.9412967 1.3189398),Changi
Compassvale Bow ,1.3815072,103.8936639,POINT (103.8936639 1.3815072),Ang Mo Kio
Boon Lay Drive ,1.3437874,103.7127992,POINT (103.7127992 1.3437874),Tuas South
Saraca Ter,1.3838373,103.8590605,POINT (103.8590605 1.3838373),Ang Mo Kio
Choa Chu Kang St 51 ,1.3913255,103.7430316,POINT (103.7430316 1.3913255),Khatib
Nth Canal Rd ,1.2864928,103.8478,POINT (103.8478 1.2864928),Marina Barrage
Frankel Dr ,1.316919,103.91537159999999,POINT (103.9153716 1.316919),Marina Barrage
White House Pk,1.3161505,103.8226734,POINT (103.8226734 1.3161505),Ang Mo Kio
Glasgow Rd ,1.3612511,103.8782066,POINT (103.8782066 1.3612511),Ang Mo Kio
Jln Kelulut ,1.3831717,103.8755747,POINT (103.8755747 1.3831717),Ang Mo Kio
Jln Angklong ,1.3629732,103.8288192,POINT (103.8288192 1.3629732),Ang Mo Kio
Shaw Rd,1.336857,103.8846795,POINT (103.8846795 1.336857),Ang Mo Kio
"Eastwood Green, Rd, Ter, Walk, Way",1.3228038999999998,103.95613279999999,POINT (103.9561328 1.3228039),Changi
Jln Membina ,1.2834914,103.8266828,POINT (103.8266828 1.2834914),Marina Barrage
Kensington Pk Dr ,1.3678191000000002,103.8696678,POINT (103.8696678 1.3678191),Ang Mo Kio
Marymount Ter ,1.349949,103.8402324,POINT (103.8402324 1.349949),Ang Mo Kio
Ang Mo Kio Ave3 ,1.3689086000000001,103.8572848,POINT (103.8572848 1.3689086),Ang Mo Kio
EdgefieldPlains ,1.4005857,103.9088722,POINT (103.9088722 1.4005857),Khatib
Leicester Rd ,1.3298421,103.8676348,POINT (103.8676348 1.3298421),Ang Mo Kio
"Lor 1, 4 Realty Pk",1.3682475,103.889252,POINT (103.889252 1.3682475),Ang Mo Kio
Lor 2 ToaPayoh ,1.3360505,103.8462992,POINT (103.8462992 1.3360505),Ang Mo Kio
Aroozoo Ln ,1.3537915,103.88289329999999,POINT (103.8828933 1.3537915),Ang Mo Kio
Old Airport Rd ,1.3077496000000002,103.8859197,POINT (103.8859197 1.3077496),Marina Barrage
"Eastwood Ter, Way",1.3218063,103.9569024,POINT (103.9569024 1.3218063),Changi
Bukit Timah Rd ,1.3228014,103.8151035,POINT (103.8151035 1.3228014),Ang Mo Kio
Ang Mo Kio ,1.3691149,103.8454342,POINT (103.8454342 1.3691149),Ang Mo Kio
Hillview Ave,1.3596006999999999,103.7638949,POINT (103.7638949 1.3596007),Ang Mo Kio
Upp S'goon Rd ,1.349128,103.8734316,POINT (103.8734316 1.349128),Ang Mo Kio
West Coast Ln,1.31298,103.7590349,POINT (103.7590349 1.31298),Ang Mo Kio
Stirling Rd ,1.2953328000000002,103.80439940000001,POINT (103.8043994 1.2953328),Ang Mo Kio
Fidelio St,1.3190956,103.92299709999999,POINT (103.9229971 1.3190956),Marina Barrage
"Lor 37, 39Geylang",1.3163241,103.8899251,POINT (103.8899251 1.3163241),Marina Barrage
Harvey Ave ,1.3379769,103.95464190000001,POINT (103.9546419 1.3379769),Changi
Lor 16 Geylang,1.3112478,103.8799103,POINT (103.8799103 1.3112478),Marina Barrage
Surin Rd ,1.3556188999999998,103.8801872,POINT (103.8801872 1.3556189),Ang Mo Kio
Joo Ave ,1.3153219999999999,103.8551676,POINT (103.8551676 1.315322),Ang Mo Kio
Toa Payoh East ,1.3342046,103.8573472,POINT (103.8573472 1.3342046),Ang Mo Kio
Rochor Rd ,1.2993293,103.85705909999999,POINT (103.8570591 1.2993293),Marina Barrage
Rivervale Cres ,1.391581,103.9074777,POINT (103.9074777 1.391581),Ang Mo Kio
S'goon Ctrl ,1.349128,103.8734316,POINT (103.8734316 1.349128),Ang Mo Kio
Yishun St 61 ,1.4205827,103.8377255,POINT (103.8377255 1.4205827),Khatib
Geylang Rd ,1.3134257,103.88376290000001,POINT (103.8837629 1.3134257),Marina Barrage
Corporation Dr,1.3330011999999998,103.7231731,POINT (103.7231731 1.3330012),Tuas South
 Kurau Gr ,1.3118907,103.9150578,POINT (103.9150578 1.3118907),Marina Barrage
Jurong East St 21,1.3369686,103.7433703,POINT (103.7433703 1.3369686),Ang Mo Kio
How Sun Dr ,1.344532,103.87894320000001,POINT (103.8789432 1.344532),Ang Mo Kio
Bedok Nth Ave3 ,1.3312608999999997,103.93427740000001,POINT (103.9342774 1.3312609),Changi
"Pasir Ris Dr 3, Dr 4, Lk, Rise ",1.3750909,103.9534875,POINT (103.9534875 1.3750909),Changi
Jln Kelichap ,1.3468833999999998,103.8813653,POINT (103.8813653 1.3468834),Ang Mo Kio
